id,activity_name,domain,difficulty,goal,skills_targeted,materials,time_required_minutes,step_instructions,age_range,sensory_suitability,autism_level_suitability,environment_fit,cost_level,learning_style_fit
177,Obstacle Course (Gross Motor) - Develop motor planning #46,Gross Motor,Moderate,Develop motor planning,"balance, core strength","pom-poms, coins, blocks, crayons",30,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Mixed,Level 2 (moderate support),Outdoor friendly,No cost,Visual
178,Letter Hunt (Writing) - Improve spacing and #99,Writing,Moderate,Improve spacing and line awareness,"fine motor precision, sentence building","pencil, pom-poms, glue, rice or beans in a container",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Sensory-avoidant,Level 1 (mild support),Quiet environment,Low cost,Auditory
179,Calm Corner (Sensory) - Support body awareness #202,Sensory,Moderate,Support body awareness,"transitioning, body awareness","coins, zipper pouch",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Mixed,Level 2 (moderate support),Low materials / small space,No cost,Auditory
180,Jump & Stop (Gross Motor) - Encourage wholebody movement #175,Gross Motor,Moderate,Encourage whole-body movement,"endurance, coordination","notebook, blocks",20,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Neutral,Level 3 (high support),Outdoor friendly,Low cost,Visual
181,Sticker Pick-Up (Fine Motor) - Increase handeye coordination #159,Fine Motor,Easy,Increase hand-eye coordination,"grip strength, hand-eye coordination","coins, soft toys, pillow, safe scissors",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",8-10,Sensory-avoidant,Level 1 (mild support),Group setting possible,Low cost,Mixed
182,Heavy Work (Sensory) - Support body awareness #217,Sensory,Easy,Support body awareness,"self-regulation, transitioning","buttons, paper",20,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",8-10,Sensory-seeking,Level 1 (mild support),Quiet environment,Low cost,Visual
183,Sound Imitation (Speech) - Improve receptive language #38,Speech,Easy,Improve receptive language following directions,"question answering, listening","ball, pom-poms, pillow, blocks",30,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",10-12,Neutral,Level 3 (high support),Low materials / small space,No cost,Mixed
184,Ball Toss (Gross Motor) - Increase core strength #82,Gross Motor,Challenging,Increase core strength,"balance, inhibition control","glue, safe scissors, rubber bands, soft toys",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Mixed,Level 3 (high support),Outdoor friendly,Low cost,Mixed
185,Jump & Stop (Gross Motor) - Build stamina with #170,Gross Motor,Challenging,Build stamina with short routines,"balance, endurance","pillow, glue",25,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Neutral,Level 1 (mild support),Group setting possible,No cost,Auditory
186,Dance Freeze (Gross Motor) - Improve balance and #96,Gross Motor,Easy,Improve balance and coordination,"coordination, motor planning","soft toys, zipper pouch, tape on floor",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Sensory-seeking,Level 1 (mild support),Group setting possible,No cost,Mixed
187,Ball Toss (Gross Motor) - Improve balance and #198,Gross Motor,Easy,Improve balance and coordination,"core strength, endurance","buttons, plastic cups, rubber bands, coins",10,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",10-12,Mixed,Level 2 (moderate support),Low materials / small space,No cost,Kinesthetic
188,Dance Freeze (Gross Motor) - Increase core strength #192,Gross Motor,Easy,Increase core strength,"balance, motor planning","flashcards, stickers, zipper pouch, tape on floor",25,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",8-10,Neutral,Level 1 (mild support),Outdoor friendly,Low cost,Kinesthetic
189,Texture Bin (Sensory) - Practice deep pressure #15,Sensory,Moderate,Practice deep pressure calming routine,"self-regulation, transitioning","blocks, rice or beans in a container, safe scissors",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",4-6,Mixed,Level 1 (mild support),Low materials / small space,Low cost,Kinesthetic
190,Jump & Stop (Gross Motor) - Practice stopping and #212,Gross Motor,Easy,Practice stopping and starting on cue,"coordination, endurance","tape on floor, markers, ball",15,"Set up a safe area and demonstrate the movement once. Let the child try; use markers on the floor for clear targets. Add a simple rule (stop/go, copy the pattern, count reps). Cool down with slow walking and stretching for 1 minute.",4-6,Sensory-seeking,Level 1 (mild support),Low materials / small space,Low cost,Kinesthetic
191,Picture Naming (Speech) - Improve receptive language #240,Speech,Moderate,Improve receptive language following directions,"speech production, social communication","markers, spoon",20,"Show the prompt (picture/object) and say the target word or sound once. Ask the child to repeat or respond; wait 3–5 seconds before prompting. Give a gentle prompt (first sound/choice options) and try again. Repeat with 5–10 items, then end with praise and a short break.",8-10,Neutral,Level 2 (moderate support),Low materials / small space,No cost,Auditory
192,Sentence Starters (Writing) - Improve handwriting fluency #49,Writing,Moderate,Improve handwriting fluency,"visual-motor integration, copying skills","notebook, small toys",20,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",6-8,Sensory-avoidant,Level 2 (moderate support),Outdoor friendly,Low cost,Kinesthetic
193,Deep Pressure Routine (Sensory) - Provide calming sensory #113,Sensory,Moderate,Provide calming sensory input,"body awareness, tactile tolerance","spoon, string, blocks",15,"Explain the activity and offer a choice: start now or after a 1-minute countdown. Introduce the sensory input gradually and watch for comfort cues. Use short cycles (30–60 sec) with breaks; keep breathing calm. End with a calming routine (water, quiet corner, deep breaths).",3-4,Sensory-seeking,Level 3 (high support),Low materials / small space,Low cost,Kinesthetic
194,Sentence Starters (Writing) - Practice copying from #83,Writing,Challenging,Practice copying from a model,"letter formation, fine motor precision","crayons, rubber bands, stickers",10,"Show the model (letter/shape/word) and trace once together. Let the child copy slowly; remind about starting point and direction. Do 3–5 repetitions, then use the skill in a small task (label, short word). Praise neat effort and store the page in a progress folder.",4-6,Neutral,Level 2 (moderate support),Low materials / small space,No cost,Kinesthetic
195,Cup Stacking (Fine Motor) - Improve finger strength #104,Fine Motor,Easy,Improve finger strength and control,"tool use, grip strength","markers, string, notebook",10,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",4-6,Sensory-avoidant,Level 1 (mild support),Outdoor friendly,No cost,Auditory
196,Threading (Fine Motor) - Practice bilateral coordination #74,Fine Motor,Moderate,Practice bilateral coordination,"hand-eye coordination, finger isolation","picture cards, zipper pouch",20,"Demonstrate the hand action slowly (pinch, squeeze, stack, thread). Let the child try with light support at the wrist or fingertips. Increase challenge slightly (smaller items, longer sequence, timed trial). Finish with 2–3 successful reps and celebrate effort.",6-8,Neutral,Level 2 (moderate support),Outdoor friendly,No cost,Kinesthetic
